Uniq,Season,WTeamID,NumWin,NumLost,Win,Avg.Score,FG,Avg.FGM,X3PT,Avg.FGM3,FT,Avg.FTM,Avg.Rebound_Off,Avg.Rebound_Def,Avg.Rebound_Total,Avg.Stl,Avg.Blk,Avg.PF,Avg.TO,Avg.Ast,Seed,TeamName,FirstD1Season,LastD1Season,ConfAbbrev,Description,Regular.Season.Champ,Conf..Tourney.Champ,March.Madness.Champ,NumChamp
52,2003,1159,12,14,46.15,65.88,43.35,24.46,35.26,6.58,68.88,10.38,10.58,21.88,32.46,6.88,1.69,19.15,14.31,13.96,0,Colgate,1985,2018,patriot,Patriot League,0,0,0,0
53,2003,1160,20,11,64.52,75.52,44.35,27.19,32.56,4.97,67.52,16.16,14.48,27.97,42.45,6.13,6.65,17.71,14,13.39,10,Colorado,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
54,2003,1161,17,13,56.67,74,50.67,26.4,36.31,4.2,70.05,17,10.8,23.47,34.27,5.33,4.23,20.57,16.13,15.5,14,Colorado St,1985,2018,mwc,Mountain West Conference,0,0,0,0
55,2003,1162,2,25,7.41,49.63,37.28,16.93,30.29,5.04,67.13,10.74,9.44,21.63,31.07,5.19,3.44,18.26,17.07,9.7,0,Columbia,1985,2018,ivy,Ivy League,0,0,0,0
56,2003,1163,21,9,70,80.03,47.48,29.53,38.64,6.07,67.42,14.9,14.77,27.9,42.67,5.93,7.73,18.4,15.8,15.63,5,Connecticut,1985,2018,big_east,Big East Conference,1,0,0,1
57,2003,1164,11,17,39.29,58.04,43.7,21.07,39.24,4.43,73.12,11.46,9.25,19.43,28.68,7.32,2.07,15.71,14.86,9.21,0,Coppin St,1986,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
58,2003,1165,8,18,30.77,59.92,42.5,21.35,33.54,6.23,63.7,11,9.31,22.15,31.46,7.31,2.12,18.35,15.46,12.92,0,Cornell,1985,2018,ivy,Ivy League,0,0,0,0
59,2003,1166,29,4,87.88,79.24,49.95,28.7,38.91,7.97,69.29,13.88,10.88,23.18,34.06,8.39,4.45,17.27,13.36,16.82,6,Creighton,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
60,2003,1168,10,19,34.48,62.93,43.94,22.76,34.59,4.76,64.84,12.66,12.07,19.34,31.41,5.93,1.52,18,13.24,11.69,0,CS Fullerton,1985,2018,big_west,Big West Conference,0,0,0,0
61,2003,1169,13,15,46.43,69.86,44.71,24.32,35.34,6.07,70.55,15.14,12.43,22.21,34.64,8.54,2,22.79,17.11,12.75,0,CS Northridge,1991,2018,big_west,Big West Conference,0,0,0,0
62,2003,1170,11,17,39.29,65.43,41.05,22.86,30.9,5.75,67.18,13.96,10.86,22.04,32.89,8.39,2.93,21.39,16.36,12.96,0,CS Sacramento,1992,2018,big_sky,Big Sky Conference,0,0,0,0
63,2003,1171,7,19,26.92,59.23,41.3,20.46,35.75,8.15,70.4,10.15,6.77,21.35,28.12,6.08,2.38,18.58,12.42,13.54,0,Dartmouth,1985,2018,ivy,Ivy League,0,0,0,0
64,2003,1172,14,10,58.33,76.5,45.08,26.33,39.08,9.17,77.36,14.67,11.83,28.38,40.21,5.62,1.62,20.38,18.88,16,0,Davidson,1985,2018,southern,Southern Conference,0,0,0,0
65,2003,1173,24,5,82.76,72.79,45.17,24.48,36.03,7.52,71.56,16.31,13.48,23.17,36.66,5.38,2.93,17.59,13.31,15.21,4,Dayton,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
66,2003,1174,15,14,51.72,68.62,40.84,24.21,33.78,6.97,70.59,13.24,11.03,24.38,35.41,7.97,3.72,19.1,13.41,14.03,0,Delaware,1985,2018,caa,Colonial Athletic Association,0,0,0,0
67,2003,1175,15,12,55.56,62.22,44.11,21.93,36.78,6.59,68.68,11.78,10.63,19.33,29.96,6.67,3.37,18.26,13.7,12.15,0,Delaware St,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
68,2003,1176,17,15,53.12,70.88,40.75,24.31,34.58,7.78,72.8,14.47,12.78,24.25,37.03,7.16,1.69,19.16,13.31,14.38,0,Denver,1999,2018,sun_belt,Sun Belt Conference,0,0,0,0
69,2003,1177,16,12,57.14,67.04,43.98,23.36,33.24,4.43,72.71,15.89,12.32,24.61,36.93,5.75,2.11,18.18,14.54,12.86,0,DePaul,1985,2018,cusa,Conference USA,0,0,0,0
70,2003,1178,17,12,58.62,70.97,48.1,26.59,34.66,4.52,70.38,13.28,10.9,22.31,33.21,6.41,2.55,19.17,11.97,13.38,0,Detroit,1985,2018,horizon,Horizon League,0,0,0,0
71,2003,1179,8,20,28.57,63.75,44.91,21.75,34.46,5.46,73.14,14.79,8.25,22.39,30.64,3.89,1.61,17.18,14.39,12.79,0,Drake,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
72,2003,1180,18,11,62.07,68.62,43.06,24.59,34.39,6.38,67.32,13.07,11.03,24.41,35.45,7.34,4.62,18.24,13.59,14.72,0,Drexel,1985,2018,caa,Colonial Athletic Association,0,0,0,0
73,2003,1181,24,6,80,81.97,45.36,27.37,35.6,7.33,70.9,19.9,13.77,23.1,36.87,8.5,5.13,21.27,14.03,13.83,3,Duke,1985,2018,acc,Atlantic Coast Conference,0,1,0,1
74,2003,1182,9,21,30,66.7,44.48,23.5,36.64,5.67,68.9,14.03,10.87,22.17,33.03,6.7,3.6,19.47,18.93,12.57,0,Duquesne,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
75,2003,1183,13,15,46.43,77.21,44.49,27.54,37.88,6.75,76.42,15.39,12.11,22.86,34.96,6.39,2.04,19.64,12.96,16.14,0,E Illinois,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
76,2003,1184,7,17,29.17,74.67,44.74,26.75,32.59,5.5,69.37,15.67,11.67,21.38,33.04,7.83,2.5,22.92,14.83,14.21,0,E Kentucky,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
77,2003,1185,12,14,46.15,76.85,46.09,26.73,30.49,4.81,64.4,18.58,12.65,24.31,36.96,6.04,3.15,21.77,15.19,14.73,0,E Michigan,1985,2018,mac,Mid-American Conference,0,0,0,0
78,2003,1186,17,12,58.62,69.97,46.67,23.9,35.14,4.69,73.37,17.48,9.38,22.86,32.24,7.69,2.72,21.48,17.03,14.79,0,E Washington,1985,2018,big_sky,Big Sky Conference,0,0,0,0
79,2003,1187,10,15,40,63,40.46,22.72,26.9,4.24,69.09,13.32,12.84,24.76,37.6,4.76,3.64,17.32,12.8,11.92,0,East Carolina,1985,2018,cusa,Conference USA,0,0,0,0
80,2003,1189,10,15,40,62.4,42.29,22.92,32.38,4.52,65.86,12.04,12.92,20.56,33.48,7.2,2.56,19.48,16.2,11.16,0,Elon,2000,2018,big_south,Big South Conference,0,0,0,0
81,2003,1190,17,10,62.96,79.7,45.72,28.07,34.39,5.22,73.88,18.33,14,24.04,38.04,10.7,5.26,19.52,18.74,14.04,15,ETSU,1985,2018,southern,Southern Conference,0,0,0,0
82,2003,1191,12,16,42.86,70,48.34,23.93,39.14,5.86,72.96,16.29,8.79,23.07,31.86,5.39,3.39,19.89,15.93,15.75,0,Evansville,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
83,2003,1192,15,14,51.72,72.62,43.74,25.41,35.19,8.48,70.44,13.31,10.07,21.28,31.34,6,2.34,19.24,14.59,14.03,0,F Dickinson,1985,2018,nec,Northeast Conference,0,0,0,0
84,2003,1193,19,11,63.33,70.63,44.34,24.03,33.07,4.27,72.24,18.3,11.8,25.6,37.4,7.6,5.33,20.3,17.13,12.83,0,Fairfield,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
85,2003,1194,6,21,22.22,69.07,39.27,25.15,33.52,6.48,66.8,12.3,14.37,21.56,35.93,9.07,3.48,23.33,16.63,12.22,0,FL Atlantic,1994,2018,a_sun,Atlantic Sun Conference,0,0,0,0
86,2003,1196,24,7,77.42,75.9,47.66,26.94,39.21,8.68,70.53,13.35,10.81,24.26,35.06,7.77,4.1,16.9,13.39,16.42,2,Florida,1985,2018,sec,Southeastern Conference,0,0,0,0
87,2003,1197,17,12,58.62,71.48,43.07,23.48,38.83,8.28,67.67,16.24,13.45,24.45,37.9,7.24,2.1,19.9,17.48,11.24,0,Florida A&M,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
88,2003,1198,7,21,25,59.89,40.77,21.29,30.77,3.71,61.06,13.61,13.71,20.86,34.57,7.75,2.04,19.21,15.86,9.5,0,Florida Intl,1988,2018,sun_belt,Sun Belt Conference,0,0,0,0
89,2003,1199,14,15,48.28,68.07,43.2,24.76,33.27,6.41,67.18,12.14,10.62,24,34.62,9.45,4.48,18.93,14.9,13.93,0,Florida St,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
90,2003,1200,2,26,7.14,64.64,41.22,23.14,33.39,6.86,61.8,11.5,11.46,22.36,33.82,7.43,3.29,21.11,17.46,12.11,0,Fordham,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
91,2003,1201,20,8,71.43,71.64,44.84,25.89,35.47,6.54,70.64,13.32,13.43,24.32,37.75,6.57,4.43,19.89,15.79,14.75,0,Fresno St,1985,2018,wac,Western Athletic Conference,0,0,0,0
92,2003,1202,11,17,39.29,64.54,41.71,23.36,32.78,5.61,69.09,12.21,12.68,22.89,35.57,6.93,2.89,17.46,14.82,12.71,0,Furman,1985,2018,southern,Southern Conference,0,0,0,0
93,2003,1203,12,17,41.38,71.38,43.85,23.83,33.99,5.93,67.54,17.79,13.79,22.76,36.55,6.45,3.17,20.52,16.34,13.28,0,G Washington,1985,2018,a_ten,Atlantic 10 Conference,0,0,0,0
94,2003,1204,13,13,50,75.58,45.89,27.69,35.56,6.15,64.15,14.04,13.5,22.92,36.42,7.38,3.69,19.42,15.81,13.62,0,Ga Southern,1985,2018,southern,Southern Conference,0,0,0,0
95,2003,1205,4,24,14.29,67.21,39.52,25.18,29.93,7.96,69.94,8.89,12.54,25.75,38.29,6.75,2.96,18.43,16.46,15.43,0,Gardner Webb,2003,2018,a_sun,Atlantic Sun Conference,0,0,0,0
96,2003,1206,16,12,57.14,64.07,42.31,22.79,30.41,4.46,67.88,14.04,12.93,23.46,36.39,7.61,2.21,16.93,15.68,11.71,0,George Mason,1985,2018,caa,Colonial Athletic Association,0,0,0,0
97,2003,1207,15,14,51.72,76.31,42.99,26.41,32.77,4.69,73.35,18.79,14.03,25.52,39.55,9.48,6.31,22.21,15.93,15.52,0,Georgetown,1985,2018,big_east,Big East Conference,0,0,0,0
98,2003,1208,19,8,70.37,79.19,46.41,28.52,38.03,6.7,71.4,15.44,12.81,24.59,37.41,7.63,4.37,17.19,11.56,17.93,0,Georgia,1985,2018,sec,Southeastern Conference,0,0,0,0
99,2003,1209,13,15,46.43,73.21,45.32,26.64,33.46,6.11,71.01,13.82,11.5,22.18,33.68,7.61,4.93,17.14,14.54,13.29,0,Georgia St,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
100,2003,1210,14,14,50,74.07,44.66,27.04,34.72,5.68,67.74,14.32,14.04,24.75,38.79,8.07,5.36,18.57,15.18,15.57,0,Georgia Tech,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
101,2003,1211,23,8,74.19,77.06,47,26.06,37.56,7.16,72.12,17.77,11.94,25.32,37.26,6.81,3.52,18.65,14.55,15.74,9,Gonzaga,1985,2018,wcc,West Coast Conference,0,0,0,0
102,2003,1212,10,18,35.71,71.11,42.28,26.39,34.18,6.21,69.9,12.11,10.96,25.5,36.46,5.46,3.96,19.68,16.25,13.32,0,Grambling,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
103,2003,1214,19,11,63.33,71.47,45.4,25.33,32.13,5.93,66.07,14.87,12.67,23.47,36.13,8.43,3.7,22.63,17.7,14.63,0,Hampton,1996,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
104,2003,1216,15,13,53.57,64.5,41.73,23.32,33.57,4.96,63.67,12.89,13.89,22.57,36.46,7.25,2.32,18.79,14,12.04,0,Hartford,1985,2018,aec,America East Conference,0,0,0,0
105,2003,1217,11,15,42.31,70.62,42.76,25.42,37,7.77,67.83,12,12.92,24.81,37.73,7.46,2.38,20.38,16.92,15.42,0,Harvard,1985,2018,ivy,Ivy League,0,0,0,0
106,2003,1218,18,11,62.07,69.83,45.41,24.93,34.93,5.28,68.71,14.69,11.48,22.48,33.97,6.79,3.1,17.86,14.72,16.24,0,Hawaii,1985,2018,wac,Western Athletic Conference,0,0,0,0
107,2003,1219,7,20,25.93,68.52,44.37,24.96,33.33,5.41,64.85,13.19,11.96,21.48,33.44,7.41,2,18.26,16.19,11.89,0,High Point,2000,2018,big_south,Big South Conference,0,0,0,0
108,2003,1220,8,21,27.59,64.1,40.68,23.41,32.2,6.83,58.83,10.45,15,25.62,40.62,5.24,2.93,20.14,18.48,13.07,0,Hofstra,1985,2018,caa,Colonial Athletic Association,0,0,0,0
109,2003,1221,25,4,86.21,69.34,45.91,24.21,35.98,5.31,70.56,15.62,12.07,24.31,36.38,7.97,4.48,18.38,13.93,15.41,14,Holy Cross,1985,2018,patriot,Patriot League,0,0,0,0
110,2003,1222,8,20,28.57,58.25,40.32,21.29,30.35,5.57,65.97,10.11,11.68,25.96,37.64,5.21,4.43,16.61,17.43,10.79,0,Houston,1985,2018,cusa,Conference USA,0,0,0,0
111,2003,1224,13,17,43.33,73.2,43.43,26,34.82,6,68.78,15.2,14.17,20.43,34.6,8,2.77,19.2,15.2,11.17,0,Howard,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
112,2003,1225,12,15,44.44,61.89,41.1,22.07,33.03,5.41,70.25,12.33,11.85,22.78,34.63,5.93,3,16.67,13.78,12.04,0,Idaho,1985,2018,big_west,Big West Conference,0,0,0,0
113,2003,1226,13,14,48.15,70.59,44.32,25.85,33.87,5.48,64.41,13.41,11.26,22.56,33.81,8.04,3.41,19.89,14.96,14.26,0,Idaho St,1985,2018,big_sky,Big Sky Conference,0,0,0,0
114,2003,1227,21,8,72.41,75.45,47.67,27.86,41.24,6.41,59.75,13.31,13.52,24.34,37.86,6.17,3.31,19.45,12.52,16.45,0,IL Chicago,1985,2018,horizon,Horizon League,0,0,0,0
115,2003,1228,24,6,80,75.43,48.57,27.1,36.86,7.43,72.25,13.8,9.73,25.4,35.13,7,3.1,19.13,13.17,18.27,4,Illinois,1985,2018,big_ten,Big Ten Conference,0,1,0,1
116,2003,1229,8,21,27.59,64.59,44.21,23.69,44.03,6.48,70.36,10.72,9.76,21.14,30.9,6.17,2.41,18.9,14.86,11.52,0,Illinois St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
117,2003,1231,20,12,62.5,70.53,42.66,23.44,34.83,7.53,71.27,16.12,11.22,25.62,36.84,4.44,5.34,18.06,11.5,13.81,7,Indiana,1985,2018,big_ten,Big Ten Conference,0,0,0,0
118,2003,1232,7,24,22.58,56.42,39.36,20.77,34.56,4.84,68.5,10.03,9.94,20.84,30.77,6.52,2.77,18.39,13.32,12.29,0,Indiana St,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
119,2003,1233,17,12,58.62,74.97,46.08,26.14,36.64,5.72,71.62,16.97,11.14,24.21,35.34,8.21,4.34,20.38,15.34,16.45,0,Iona,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
120,2003,1234,15,13,53.57,69.54,44.79,24.25,28.69,4.79,71.77,16.25,11.32,25.04,36.36,6.64,4,17.71,15.04,14.46,0,Iowa,1985,2018,big_ten,Big Ten Conference,0,0,0,0
121,2003,1235,15,13,53.57,70.39,45.58,26.32,38.55,5.71,67.81,12.04,11.29,25.39,36.68,5.5,5.5,18.64,13.57,11.86,0,Iowa St,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
122,2003,1236,9,20,31.03,68.17,42.59,23.38,33.45,6.86,70.1,14.55,9.17,23.28,32.45,8,3.03,19.55,15.86,13.55,0,IPFW,2003,2018,ind,Independent,0,0,0,0
123,2003,1237,19,13,59.38,71.25,45.31,24.44,34.96,6.5,70.17,15.88,11.69,20.91,32.59,8.19,1.81,19.34,15.91,13.38,16,IUPUI,1999,2018,mid_cont,Mid-Continent Conference,0,0,0,0
